concern_branch,time_of_semester,engagement_hint,best_first_question
clarity,early,low,clarity_01
clarity,early,medium,clarity_01
clarity,early,high,clarity_02
clarity,mid,low,clarity_01
clarity,mid,medium,clarity_01
clarity,mid,high,clarity_03
clarity,late,low,clarity_01
clarity,late,medium,clarity_02
clarity,late,high,clarity_03
workload,early,low,workload_01
workload,early,medium,workload_01
workload,early,high,workload_02
workload,mid,low,workload_01
workload,mid,medium,workload_02
workload,mid,high,workload_03
workload,late,low,workload_01
workload,late,medium,workload_01
workload,late,high,workload_03
assessment,early,low,assessment_01
assessment,early,medium,assessment_01
assessment,early,high,assessment_02
assessment,mid,low,assessment_01
assessment,mid,medium,assessment_01
assessment,mid,high,assessment_03
assessment,late,low,assessment_01
assessment,late,medium,assessment_02
assessment,late,high,assessment_03
support,early,low,support_01
support,early,medium,support_01
support,early,high,support_02
support,mid,low,support_01
support,mid,medium,support_02
support,mid,high,support_03
support,late,low,support_01
support,late,medium,support_01
support,late,high,support_03
clarity,early,low,clarity_01
clarity,mid,medium,clarity_02
clarity,late,high,clarity_03
clarity,early,medium,clarity_01
clarity,mid,low,clarity_01
clarity,late,medium,clarity_01
workload,early,low,workload_01
workload,mid,medium,workload_01
workload,late,high,workload_02
workload,early,high,workload_02
workload,mid,low,workload_01
workload,late,medium,workload_02
assessment,early,low,assessment_01
assessment,mid,medium,assessment_02
assessment,late,high,assessment_03
assessment,early,high,assessment_01
assessment,mid,low,assessment_01
assessment,late,medium,assessment_01
support,early,low,support_01
support,mid,medium,support_01
support,late,high,support_03
support,early,high,support_02
support,mid,low,support_01
support,late,medium,support_02
clarity,mid,high,clarity_02
clarity,late,low,clarity_01
clarity,early,high,clarity_02
workload,mid,high,workload_03
workload,late,low,workload_01
workload,early,medium,workload_01
assessment,mid,high,assessment_02
assessment,late,low,assessment_01
assessment,early,medium,assessment_01
support,mid,high,support_03
support,late,low,support_01
support,early,medium,support_01
